id,no_surat,kode_transaksi,tanggal,nama_bahan,id_bahan,no_part,stok,status_bahan_baku
1,A,MA0001,01/10/2022,UNDER BRACKET,,13261-12025,1700,masuk
2,A,MA0002,10/3/2022,INNER TUBE,,00653 (YB74),400,masuk
3,A,MA0003,10/3/2022,INNER TUBE,,00658 (Y2CC),600,masuk
4,A,MA0004,10/3/2022,INNER TUBE,,20610 (K93),10000,masuk
5,A,MA0005,10/3/2022,INNER TUBE,,10609 (Y2DP),7800,masuk
6,A,MA0006,10/3/2022,INNER TUBE,,00653 (YB74),200,masuk
7,A,MA0007,10/3/2022,INNER TUBE,,00658 (Y2CC),400,masuk
9,A,MA0008,10/3/2022,INNER TUBE,,10610 (5D9),300,masuk
10,A,MA0009,10/3/2022,INNER TUBE,,20610 (K93),4000,masuk
11,A,MA0010,10/3/2022,INNER TUBE,,10609 (Y2DP),9600,masuk
12,A,MA0011,10/3/2022,INNER TUBE,,10604 (Y2PK),300,masuk
13,A,MA0012,10/3/2022,UNDER BRACKET,,13331-02040,600,masuk
14,A,MA0013,10/3/2022,UNDER BRACKET,,13261-12057,1000,masuk
15,A,MA0014,10/3/2022,UNDER BRACKET,,02087 (28D),250,masuk
16,A,MA0015,10/3/2022,UNDER BRACKET,,13261-12025,1500,masuk
17,A,MA0016,10/3/2022,UNDER BRACKET,,13261-12028,1200,masuk
18,A,MA0017,10/4/2022,UNDER BRACKET,,13261-02080,600,masuk
19,A,MA0018,10/4/2022,UNDER BRACKET,,13301-12036,720,masuk
20,A,MA0019,10/4/2022,INNER TUBE,,00653 (YB74),800,masuk
21,A,MA0020,10/4/2022,INNER TUBE,,00658 (Y2CC),1000,masuk
22,A,MA0021,10/4/2022,INNER TUBE,,20610 (K93),6000,masuk
23,A,MA0022,10/4/2022,INNER TUBE,,10609 (Y2DP),4800,masuk
24,A,MA0023,10/4/2022,UNDER BRACKET,,02087 (28D),250,masuk
25,A,MA0024,10/4/2022,UNDER BRACKET,,13261-12025,1000,masuk
26,A,MA0025,10/4/2022,UNDER BRACKET,,13261-12028,1200,masuk
27,A,MA0026,10/5/2022,UNDER BRACKET,,13261-12051,1800,masuk
28,A,MA0027,10/5/2022,UNDER BRACKET,,13301-12040,400,masuk
29,A,MA0028,10/5/2022,UNDER BRACKET,,13301-12040,400,masuk
30,A,MA0029,10/5/2022,UNDER BRACKET,,13301-12040,400,masuk
31,A,MA0030,10/5/2022,UNDER BRACKET,,13261-12057,500,masuk
32,A,MA0031,10/5/2022,UNDER BRACKET,,13261-02095,100,masuk
33,A,MA0032,10/5/2022,INNER TUBE,,00653 (YB74),600,masuk
34,A,MA0033,10/5/2022,INNER TUBE,,00658 (Y2CC),400,masuk
35,A,MA0034,10/5/2022,INNER TUBE,,20610 (K93),1000,masuk
36,A,MA0035,10/5/2022,INNER TUBE,,10609 (Y2DP),4200,masuk
38,A,MA0036,10/5/2022,INNER TUBE,,00653 (YB74),200,masuk
39,A,MA0037,10/5/2022,INNER TUBE,,20610 (K93),3000,masuk
40,A,MA0038,10/5/2022,UNDER BRACKET,,02087 (28D),250,masuk
41,A,MA0039,10/5/2022,UNDER BRACKET,,13261-12025,1100,masuk
42,A,MA0040,10/5/2022,UNDER BRACKET,,13261-12028,1200,masuk
43,A,MA0041,10/6/2022,UNDER BRACKET,,13261-12051,1800,masuk
44,A,MA0042,10/6/2022,INNER TUBE,,00653 (YB74),600,masuk
45,A,MA0043,10/6/2022,INNER TUBE,,00658 (Y2CC),600,masuk
46,A,MA0044,10/6/2022,INNER TUBE,,20610 (K93),8000,masuk
47,A,MA0045,10/6/2022,UNDER BRACKET,,13261-02076,400,masuk
48,A,MA0046,10/6/2022,UNDER BRACKET,,13301-12040,1200,masuk
49,A,MA0047,10/6/2022,INNER TUBE,,00658 (Y2CC),200,masuk
50,A,MA0048,10/6/2022,INNER TUBE,,20610 (K93),3000,masuk
51,A,MA0049,10/6/2022,UNDER BRACKET,,13301-12040,300,masuk
52,A,MA0050,10/6/2022,UNDER BRACKET,,13261-12044,600,masuk
53,A,MA0051,10/6/2022,UNDER BRACKET,,13331-02040,500,masuk
54,A,MA0052,10/6/2022,UNDER BRACKET,,13261-12031,300,masuk
55,A,MA0053,10/6/2022,UNDER BRACKET,,13261-12025,1900,masuk
56,A,MA0054,10/6/2022,UNDER BRACKET,,13261-12028,500,masuk
57,A,MA0055,10/7/2022,UNDER BRACKET,,02087 (28D),250,masuk
58,A,MA0056,10/7/2022,UNDER BRACKET,,13261-12028,600,masuk
59,A,MA0057,10/10/2022,UNDER BRACKET,,13301-12040,400,masuk
60,A,MA0058,10/10/2022,UNDER BRACKET,,13301-12040,800,masuk
61,A,MA0059,10/10/2022,UNDER BRACKET,,13301-12040,100,masuk
62,A,MA0060,10/10/2022,UNDER BRACKET,,13261-12057,200,masuk
63,A,MA0061,10/10/2022,UNDER BRACKET,,13261-12057,1000,masuk
64,A,MA0062,10/10/2022,INNER TUBE,,00658 (Y2CC),800,masuk
65,A,MA0063,10/10/2022,INNER TUBE,,20610 (K93),13000,masuk
69,A,MA0064,10/10/2022,INNER TUBE,,10609 (Y2DP),5400,masuk
70,A,MA0065,10/10/2022,UNDER BRACKET,,13261-12025,700,masuk
71,A,MA0066,10/11/2022,UNDER BRACKET,,13371-02039,260,masuk
72,A,MA0067,10/11/2022,UNDER BRACKET,,13371-02039,240,masuk
73,A,MA0068,10/11/2022,UNDER BRACKET,,13371-02039,250,masuk
74,A,MA0069,10/11/2022,UNDER BRACKET,,13371-02039,560,masuk
75,A,MA0070,10/11/2022,UNDER BRACKET,,13371-02039,280,masuk
76,A,MA0071,10/11/2022,UNDER BRACKET,,13261-12027,300,masuk
77,A,MA0072,10/11/2022,UNDER BRACKET,,13261-12025,100,masuk
78,A,MA0073,10/11/2022,UNDER BRACKET,,13261-12028,1200,masuk
79,A,MA0074,10/11/2022,INNER TUBE,,00653 (YB74),400,masuk
80,A,MA0075,10/11/2022,INNER TUBE,,00658 (Y2CC),800,masuk
81,A,MA0076,10/11/2022,INNER TUBE,,20610 (K93),8000,masuk
82,A,MA0077,10/11/2022,INNER TUBE,,10609 (Y2DP),3600,masuk
83,A,MA0078,10/11/2022,UNDER BRACKET,,13261-12025,900,masuk
84,A,MA0079,10/11/2022,UNDER BRACKET,,13261-12027,100,masuk
85,A,MA0080,10/11/2022,UNDER BRACKET,,13261-12028,800,masuk
86,A,MA0081,10/12/2022,UNDER BRACKET,,13261-12025,300,masuk
87,A,MA0082,10/12/2022,UNDER BRACKET,,13261-12057,400,masuk
88,A,MA0083,10/12/2022,UNDER BRACKET,,13301-12040,800,masuk
89,A,MA0084,10/12/2022,UNDER BRACKET,,13301-12040,400,masuk
90,A,MA0085,10/12/2022,UNDER BRACKET,,13261-12025,500,masuk
91,A,MA0086,10/12/2022,UNDER BRACKET,,13261-12025,100,masuk
92,A,MA0087,10/12/2022,UNDER BRACKET,,13261-12028,100,masuk
93,A,MA0088,10/12/2022,UNDER BRACKET,,13261-12028,100,masuk
94,A,MA0089,10/12/2022,UNDER BRACKET,,13261-12028,200,masuk
95,A,MA0090,10/12/2022,UNDER BRACKET,,13261-12027,200,masuk
96,A,MA0091,10/12/2022,UNDER BRACKET,,13261-02076,600,masuk
